Country,CC,CF,GDP,RE,CHE,CHE_GDP,CO2 ,CO2m,IMD,IMH,IMM,P,F,Handwash,Sanitation ,Water,U,Tobacco,Tobacco_fem,Tobacco_m,PM,EAB,EAS,EAP,EAL,Mortality,Deaths,OAP,OAPc,Population,Population_m,Population_f
El Salvador,SLV,90.7,4280.28840404719,19.38,364.13085938,8.502141,7912.7,1.25994054027114,81,81,82,..,1.838,..,86.8216058122908,97.8203480942147,8.3,8.3,1.8,14.7,22.32472418,7.70890998840332,31.8099994659424,57.9000015258789,42.9900016784668,13.3,1394,36.01626587,131.14634278,6280217,2992539,3287678
Equatorial Guinea,GNQ,24,7317.39002392701,8.12,222.7387085,3.0297935,4876.5,3.13998883473672,53,53,53,..,4.429,..,..,..,..,..,..,..,45.28465901,..,..,..,..,81.9,3952,75.40167236,167.94870754,1553031,821881,731149
Eritrea,ERI,11.1,..,80.55,25.25788498,4.45916176,697.2,0.199267295412336,95,95,93,0.0709,3.997,..,..,..,..,7.7,0.2,15.1,44.07053957,..,..,..,..,40.6,4093,43.19180298,10.90933654,3498818,1724860,1773958
Estonia,EST,100,23424.4847073513,31.34,1598.83752441,6.82277584,10060.7,7.58212010267556,91,91,88,3.4724,1.66,..,99.0771583771511,99.9872873090016,2.5,30.5,23.5,37.4,5.893562381,..,..,..,..,2.3,32,24.0690937,384.82566312,1326898,627427,699471
Eswatini,SWZ,54.7,3818.54042507683,65.47,259.24450684,6.74539423,1169.5,0.999903386846761,90,90,81,..,2.921,24.2519427260086,64.5214314372907,70.4275345963468,11.1,9.3,1.9,16.7,23.34521196,..,..,..,..,56.9,1697,10.58059025,27.42960165,1169613,579801,589812
Ethiopia,ETH,6.2,840.449603427131,89.5,26.22917175,3.23382378,17708,0.155169188831947,68,68,58,..,4.323,8.1001707949846,8.65203916056794,47.2539785569372,21.9,5.2,1.4,9,33.7807199,..,3.45622992515564,15.8803796768188,7.4915599822998,50.9,185220,37.9252243,9.94747167,114120594,57375433,56745161
Faroe Islands,FRO,..,63382.753141994,5.4,..,..,..,..,..,..,..,..,2.408,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,51681,26749,24932
Fiji,FJI,47.9,5968.31955666383,26.48,228.35894775,3.81606841,1393.5,1.51720533716581,99,99,96,..,2.519,86.3659604469156,93.7099411678697,95.3833140482255,4.9,23.4,10.6,36.2,10.9932094,..,..,..,..,26.9,502,13.19460773,30.13106855,918465,461366,457099
Finland,FIN,100,48629.8582283024,45.6,4460.109375,9.17165565,40987.1,7.42303960115952,91,..,96,..,1.35,..,99.4479650642653,100,2.5,22.2,16.6,27.7,5.565330197,28.0729503631592,78.4739532470703,..,..,2.3,108,17.42399406,777.12916159,5521606,2725793,2795813
France,FRA,100,40494.8982936269,15.53,4508.34130859,11.09835148,300561.6,4.46016494835631,96,91,92,3.2735,1.86,..,98.6484145544858,100,2.5,33.6,31.9,35.2,11.40575038,19.4608707427979,69.9756088256836,97.4697189331055,83.5366134643555,4.3,3098,9.458951,426.44176635,67388001,32586250,34801750
French Polynesia,PYF,..,20093.2086174285,7.67,..,..,..,..,..,..,..,..,1.712,..,97.0033810791135,100,4.1,..,..,..,..,..,..,..,..,..,..,..,..,299717,151899,147819
