Country,CC,CF,GDP,RE,CHE,CHE_GDP,CO2 ,CO2m,IMD,IMH,IMM,P,F,Handwash,Sanitation ,Water,U,Tobacco,Tobacco_fem,Tobacco_m,PM,EAB,EAS,EAP,EAL,Mortality,Deaths,OAP,OAPc,Population,Population_m,Population_f
Uganda,UGA,0.800000000000001,823.024732829946,91.62,33.40487289,3.79804969,5943,0.138373161893107,93,93,87,..,4.809,26.6396920690785,20.4080904532095,54.3266872423468,..,8.9,4,13.7,35.21822646,..,..,..,..,45.6,71323,38.26028442,12.78080046,42949080,21241606,21707475
Ukraine,UKR,95.2,3661.45776367188,7.44,246.9130249,7.09389353,174599.9,3.93365253612705,80,76,93,..,1.228,..,97.7415991917121,93.5115778266462,2.6,26.2,11.6,40.7,14.53144476,..,..,..,..,8.5,3234,51.11891937,126.21927278,44386203,20561786,23824417
United Arab Emirates,ARE,100,45376.1708390447,0.67,1947.1307373,4.29904938,185645.7,20.1533448325312,99,98,99,2.6011,1.334,..,99.0984800860555,100,6,..,..,..,43.66702552,47.7518501281738,71.3130874633789,90.7799377441406,81.9970016479492,6.8,624,12.55036926,244.37211934,9211657,6443813,2767844
United Kingdom,GBR,100,42747.080460496,11.39,4265.20117188,9.87480068,345934.3,5.17584247261224,93,93,91,2.9093,1.63,..,99.108060025279,99.999997344305,2.5,16.1,14.2,17.9,10.09284402,..,..,..,..,4.3,3136,16.38647461,698.91614726,66836327,33000535,33835792
United States,USA,100,65120.3946628653,10.42,10661.02832031,16.67647362,4817710.4,14.6733807134556,94,91,90,..,1.706,..,99.6844350554525,99.7446309234849,2.5,23.4,17.8,28.9,7.663692516,..,..,..,..,6.4,24454,11.32606125,1207.47458549,328329953,162730147,165599805
Uruguay,URY,100,18098.361548609,59.34,1677.09790039,9.39027691,6806.7,1.98538155745128,94,94,96,..,1.546,..,97.7678001669948,99.4872379896577,2.5,22,18.8,25.1,9.533862914,14.2266597747803,33.1399993896484,91.5999984741211,59.5,6.8,268,15.46145821,259.30380229,3428409,1659147,1769262
Uzbekistan,UZB,83.5,1795.20176845657,1.56,98.5874176,5.43133879,117687.8,3.50466269708326,96,96,98,..,2.785,81.6222221138787,95.9392178524971,95.6274361480504,2.5,17.8,1.1,34.5,34.78609557,13.3125896453857,95.8122406005859,100,99.876579284668,15.4,12082,57.68497086,56.87011921,33580350,16797144,16783206
Vanuatu,VUT,7.6,3076.58988588361,31.63,101.97441101,3.31453276,166.9,0.548284516629216,90,90,80,..,3.813,62.6986579630054,48.3408689974498,90.0654259004521,12.4,18.2,2.7,33.7,12.88296752,..,..,..,..,24.7,226,8.07740307,8.23688401,304404,153149,151256
"Venezuela, RB",VEN,95.9,..,15.77,113.25978851,2.18563724,107502.3,3.71059907013341,64,64,93,..,2.25,..,96.7597095990301,93.8628955693026,24.9,..,..,..,21.74698878,..,..,..,..,24.2,12747,34.12151718,38.64596125,28971683,14365872,14605811
Viet Nam,VNM,93,3491.09127859728,20.65,173.65045166,5.03395176,341716.8,3.56784836932601,89,89,95,..,1.948,87.7457732686581,86.6378024979776,95.9890536474813,6.2,25,2.2,47.8,20.3898157,9.50352001190186,29.5268402099609,86.2658004760742,61.2890892028809,21.1,31702,45.11717224,78.34617034,95776716,47288433,48488283
Virgin Islands (U.S.),VIR,..,38596.0307118282,4.91,..,..,..,..,..,..,..,..,2.05,..,99.1033471580671,98.7182673758686,..,..,..,..,8.996021018,..,..,..,..,..,..,..,..,106669,50196,56473
West Bank and Gaza,PSE,..,3656.85827137011,13.86,..,..,..,..,99,99,99,..,3.642,94.9242695725112,98.153109880908,97.5865067324122,..,..,..,..,31.30254529,22.7493000030518,48.9844589233398,91.3298263549805,74.2296371459961,15.9,2301,..,..,4685306,2334948,2350358
"Yemen, Rep.",YEM,61.4,693.816483547342,3.01,..,..,11194.8,0.354864476911382,73,73,67,..,3.963,..,53.6269388377599,59.7165798384097,42.8,20.5,8.3,32.6,44.46696713,..,..,..,..,61.6,60853,..,..,31546691,15953578,15593113
Zambia,ZMB,11.5,1268.12094056241,81.48,67.4577713,5.31950092,7615.7,0.414336363523101,88,88,93,..,4.451,17.8253363195009,35.4594671468657,66.8533983785744,..,14.6,3.9,25.3,25.92546019,..,..,..,..,62.6,39801,10.21756363,6.89254087,18380477,9066397,9314079
Zimbabwe,ZWE,30.2,1421.86859641758,81.52,54.80850601,3.65976548,10185.3,0.663338328142275,90,90,85,..,3.599,42.419838127544,35.7743358079873,63.0949538019092,..,12.1,1.6,22.5,20.83469969,4.49608993530273,10.5897798538208,70.5720367431641,..,52.7,25332,9.08337116,4.97846005,15354608,7231989,8122618


Actual Variable Name,Used Variable Name
Time,2019
Access to clean fuels and technologies for cooking (% of population) ,CF
GDP per capita (current US$),GDP
Renewable energy consumption (% of total final energy consumption) ,RE
Current health expenditure per capita (current US$) ,CHE
Current health expenditure (% of GDP),CHE_GDP
CO2 emissions (kt),CO2
CO2 emissions (metric tons per capita),CO2m
"Immunization, DPT",IMD
"Immunization, HepB3",IMH
"Immunization, measles",IMM
"Physicians (per 1,000 people)",P
"Fertility rate, total (births per woman)",F
People with basic handwashing facilities including soap and water (% of population),Handwash
People using at least basic sanitation services (% of population) ,Sanitation 
People using at least basic drinking water services (% of population),Water
Prevalence of undernourishment (% of population),U
Prevalence of current tobacco use (% of adults),Tobacco
"Prevalence of current tobacco use, females (% of female adults)",Tobacco_fem
"Prevalence of current tobacco use, males (% of male adults) ",Tobacco_m
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ",PM
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) ",EAB
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative) ",EAS
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",EAP
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) ",EAL
"Mortality rate, under-5 (per 1,000 live births)",Mortality 
Number of under-five deaths,Deaths
Out-of-pocket expenditure (% of current health expenditure) ,OAP
Out-of-pocket expenditure per capita (current US$) ,OAPc
"Population, total ",Population 
"Population, male",Population_m
"Population, female",Population_f
