Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1960,YR1960,Sweden,SWE,..,2114.00302983134,..,16.3,13.1,19.6,..,..,..,1,15822585461.2453,7484656,..
1960,YR1960,Switzerland,CHE,..,1787.36037783654,..,21.7,16.3,26.5,..,..,..,1.4,9522746879.76772,5327827,..
1960,YR1960,Trinidad and Tobago,TTO,..,632.388915889771,..,56,37.4,67.7,..,..,..,0.418,535673252.260337,847063,..
1960,YR1960,Turks and Caicos Islands,TCA,..,..,..,101.7,..,137.5,..,..,..,..,..,5604,..
1960,YR1960,United Arab Emirates,ARE,..,..,..,135.5,..,201.6,..,..,..,..,..,133426,..
1960,YR1960,United Kingdom,GBR,..,1397.59486332505,..,22.9,16,26.6,..,..,..,0.8,73233970838.2328,52400000,..
1960,YR1960,United States,USA,..,3007.12344537862,..,25.9,..,30.1,..,..,..,1.1,543300000000,180671000,..
1960,YR1960,Uruguay,URY,..,491.213492970179,..,56.6,..,63.5,..,..,..,1.064,1242289239.20493,2529021,..
1960,YR1960,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,32500,..
1961,YR1961,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,20626,..
1961,YR1961,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,10216,..
1961,YR1961,Antigua and Barbuda,ATG,..,..,..,58.8,..,80.4,..,..,..,..,..,56245,..
1961,YR1961,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,55811,..
1961,YR1961,Australia,AUS,..,1877.60022432732,..,19.9,..,24.3,..,..,..,1.1,19682883151.6233,10483000,..
1961,YR1961,Austria,AUT,..,1031.8150043291,..,34.9,22.7,40.2,..,..,..,1.4,7311749633.36229,7086299,..
1961,YR1961,"Bahamas, The",BHS,..,1581.30397963404,..,..,..,..,..,..,..,..,190098039.215686,120216,..
1961,YR1961,Bahrain,BHR,..,..,..,122.6,..,181.1,..,..,..,..,..,166970,..
1961,YR1961,Barbados,BRB,..,..,..,65.2,..,78.4,..,..,..,..,..,233698,..
1961,YR1961,Belgium,BEL,..,1350.19767333123,..,28.1,18.8,32.4,..,..,..,1.3,12400145221.595,9183948,..
1961,YR1961,Bermuda,BMU,..,1961.5381691712,..,..,..,..,..,..,..,..,89249986.6972895,45500,..
1961,YR1961,British Virgin Islands,VGB,..,..,..,65.6,..,79,..,..,..,..,..,7885,..
1961,YR1961,Brunei Darussalam,BRN,..,..,..,75.9,..,110.1,..,..,..,..,..,89561,..
1961,YR1961,Canada,CAN,..,2240.44297209554,..,26.9,..,31.5,..,..,..,1.1,40935133543.1576,18271000,..
1961,YR1961,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,8626,..
1961,YR1961,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,110225,..
1961,YR1961,Chile,CHL,..,580.813413208573,..,123.9,..,148.5,..,..,..,..,4828612639.17894,8313535,..
1961,YR1961,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,4167292,..
1961,YR1961,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,126125,..
1961,YR1961,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,594771,..
1961,YR1961,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,9586651,..
1961,YR1961,Denmark,DNK,..,..,..,20.8,15.9,24.4,..,..,..,..,..,4611687,..
1961,YR1961,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,1225077,..
1961,YR1961,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,34572,..
1961,YR1961,Finland,FIN,..,1327.427224366,..,20.6,15.3,25.2,..,..,..,..,5921659485.03284,4461005,..
1961,YR1961,France,FRA,..,1430.43462423276,..,22.4,17.5,27,..,..,..,..,67461644222.0352,47161641,..
1961,YR1961,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,86921,..
1961,YR1961,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,73377632,..
1961,YR1961,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,21907,..
1961,YR1961,Greece,GRC,..,590.780054812393,..,38.8,20,45.2,..,..,..,1.2,4961400439.31722,8398050,..
1961,YR1961,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,33700,..
1961,YR1961,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,73873,..
