Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1961,YR1961,Dominica,DMA,..,..,..,77.2,..,125.9,..,..,..,..,..,60395,..
1961,YR1961,Dominican Republic,DOM,..,191.907440848606,..,101.1,..,146.1,..,..,..,..,654100200,3408415,..
1961,YR1961,Ecuador,ECU,..,369.114560234365,..,115.4,58.7,169.5,..,..,..,..,1753850416.75551,4751507,..
1961,YR1961,El Salvador,SLV,..,..,..,122.4,..,180.9,..,..,..,..,..,2858896,..
1961,YR1961,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,272264,..
1961,YR1961,Fiji,FJI,..,282.215173939264,..,56.1,..,75.1,..,..,..,..,116987784.913739,414534,..
1961,YR1961,Gabon,GAB,..,322.797123560831,..,..,..,216.6,..,..,..,..,167637907.381723,519329,..
1961,YR1961,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,3703600,..
1961,YR1961,Grenada,GRD,..,..,..,62.2,..,93.4,..,..,..,..,..,95096,..
1961,YR1961,Guatemala,GTM,..,253.227290034998,..,144.7,..,216.4,..,..,..,..,1076699900,4251911,..
1961,YR1961,Indonesia,IDN,..,..,..,145.5,56.8,217.7,..,..,..,..,..,90816938,..
1961,YR1961,Iraq,IRQ,..,252.245141552846,..,121.8,..,179.9,..,..,..,..,1831479830.70473,7260714,..
